Date,HT,AT,HS,AS
24/1/2010,Santiago Morning,La Serena,2,3
24/1/2010,Huachipato,San Luis,2,1
24/1/2010,Palestino,Universidad de Concepcion,1,1
25/1/2010,Audax Italiano,Ñublense,5,6
17/2/2010,O'Higgins,Universidad Catolica,1,0
29/1/2010,Wanderers,Huachipato,0,0
29/1/2010,Universidad de Concepcion,San Felipe,0,1
30/1/2010,Cobresal,Santiago Morning,3,0
30/1/2010,Ñublense,Everton,0,2
30/1/2010,Universidad Catolica,Palestino,2,1
30/1/2010,La Serena,Universidad de Chile,2,4
30/1/2010,San Luis,O'Higgins,1,2
31/1/2010,Unión Española,Audax Italiano,2,2
31/1/2010,Colo Colo,Cobreloa,3,1
2/2/2010,Universidad Catolica,Santiago Morning,4,0
2/2/2010,O'Higgins,Universidad de Concepcion,1,2
2/2/2010,La Serena,San Luis,1,3
2/2/2010,Palestino,Unión Española,0,0
2/2/2010,San Felipe,Audax Italiano,1,2
2/2/2010,Cobreloa,Cobresal,2,1
2/2/2010,Everton,Universidad de Chile,2,1
2/2/2010,Huachipato,Ñublense,1,1
4/2/2010,Colo Colo,Wanderers,3,0
5/2/2010,San Luis,Universidad Catolica,1,1
6/2/2010,Universidad de Concepcion,Everton,2,1
6/2/2010,Universidad de Chile,Huachipato,3,0
7/2/2010,Audax Italiano,Cobreloa,3,1
7/2/2010,Cobresal,O'Higgins,1,2
7/2/2010,Unión Española,Colo Colo,1,0
7/2/2010,Wanderers,La Serena,5,0
7/2/2010,Ñublense,Palestino,1,0
7/2/2010,Santiago Morning,San Felipe,1,0
12/2/2010,Colo Colo,Ñublense,2,2
13/2/2010,Wanderers,Universidad de Chile,3,3
13/2/2010,Santiago Morning,Palestino,2,1
13/2/2010,La Serena,San Felipe,3,1
14/2/2010,Cobreloa,Universidad de Concepcion,1,1
14/2/2010,O'Higgins,Audax Italiano,5,1
14/2/2010,San Luis,Everton,0,2
14/2/2010,Huachipato,Unión Española,1,2
14/2/2010,Universidad Catolica,Cobresal,0,2
19/2/2010,Everton,Huachipato,0,1
20/2/2010,Unión Española,Universidad Catolica,2,1
